symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
H19,D11S813E;ASM;ASM1;NCRNA00008;LINC00008;MIR675HG,11p15.5,HSALNG0082178,"HSALNT0171121,HSALNT0171122,HSALNT0171123,HSALNT0171124,HSALNT0171125,HSALNT0289462,HSALNT0361012,HSALNT0361013,HSALNT0361014,HSALNT0361015,HSALNT0361016,HSALNT0361017,HSALNT0361018,HSALNT0361019,HSALNT0361020,HSALNT0361021,HSALNT0361022,HSALNT0361023,HSALNT0361024,HSALNT0361025,HSALNT0361026,HSALNT0361027,HSALNT0361028,HSALNT0361029,HSALNT0361030,HSALNT0361031",,NA,,Disease,parkinson's disease,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QRT-PCR,NA,NA,NA,NA,NA,NA,It may be used in monitoring disease progression and it may serve as potential new targets for novel therapeutic approaches.,27021022
HOTAIR,HOXC-AS4;HOXC11-AS1;NCRNA00072,12q13.13,HSALNG0091318,"HSALNT0189446,HSALNT0189447,HSALNT0189448,HSALNT0289004,HSALNT0368392,HSALNT0368393,HSALNT0368394,HSALNT0368395,HSALNT0368396,HSALNT0368397,HSALNT0368398,HSALNT0368399,HSALNT0368400,HSALNT0368401,HSALNT0368402,HSALNT0368403,HSALNT0368404,HSALNT0368405",,NA,,Disease,parkinson's disease,Midbrain tissue,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,PCG,LRRK2,NA,Promote,QRT-PCR;Wetern blotting assay;Mtt assay;RNAi;Q-RCR,NA,Tumorigenesis,NA,NA,NA,NA,"We found that hotair was up-regulated in midbrain tissue of mtpt induced pd mice and in sh-sy5y cells exposed to mpp+.With the presence of hotair overexpression in sh-sy5y cells,the expression of lrrk2 was increased compared with that in the control.The long noncoding rna hotair promotes parkinson's disease by upregulating lrrk2 expression.With the presence of hotair overexpression in sh-sy5y cells,the expression of lrrk2 was increased compared with that in the control.",28445933
HOTAIR,HOXC-AS4;HOXC11-AS1;NCRNA00072,12q13.13,HSALNG0091318,"HSALNT0189446,HSALNT0189447,HSALNT0189448,HSALNT0289004,HSALNT0368392,HSALNT0368393,HSALNT0368394,HSALNT0368395,HSALNT0368396,HSALNT0368397,HSALNT0368398,HSALNT0368399,HSALNT0368400,HSALNT0368401,HSALNT0368402,HSALNT0368403,HSALNT0368404,HSALNT0368405",,NA,,Disease,parkinson's disease,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q-RCR,NA,NA,NA,NA,NA,NA,Hotair promoted pd induced by mptp through regulating  lrrk2 expression could add our understanding of the molecular mechanisms in pd.,26979073
LINC00319,PRED49;FLJ38036;C21orf125;NCRNA00319,21q22.3,HSALNG0133418,"HSALNT0274241,HSALNT0274245,HSALNT0274256,HSALNT0274270,HSALNT0274271,HSALNT0274272,HSALNT0404462,HSALNT0404463,HSALNT0404464,HSALNT0404465,HSALNT0404466,HSALNT0404467,HSALNT0404468,HSALNT0404469,HSALNT0404470",,NA,,Disease,parkinson's disease,NA,NA,NA,DNA methylation,cg01820192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28851441
LINC00908,ASRPS,18q23,,,,NA,,Disease,parkinson's disease,NA,NA,NA,DNA methylation,cg16270399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28851441
LINC01262,TCONS_l2_00021807;RP11-462G22.1,4q35.2,HSALNG0039360,"HSALNT0082787,HSALNT0082788,HSALNT0289102,HSALNT0324569,HSALNT0324570",,NA,,Disease,parkinson's disease,Blood,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,NA,NA,NA,NA,QRT-PCR;Rna sequencing,NA,NA,NA,NA,NA,NA,"Differentially expressed lncRNAs in pd leukocytes compared to hc.Among all the leukocyte rna-seq detected lncRNAs,13 exhibited differential expression in pd patients compared to matched control volunteers (fdr<0.05).Of these,8 exhibited disease-mediated decrease,and 5-increase.These included the u1 spliceosomal lncRNA and rp11-462g22.1,each entailing sequence complementarity to numerous micrornas.",24651478
LINC01734,,20q12,HSALNG0130047,"HSALNT0267102,HSALNT0401013",,NA,,Disease,parkinson's disease,Blood,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Rna sequencing,NA,NA,NA,NA,NA,NA,"Differentially expressed lncRNAs in pd leukocytes compared to hc.Among all the leukocyte rna-seq detected lncRNAs,13 exhibited differential expression in pd patients compared to matched control volunteers (fdr<0.05).Of these,8 exhibited disease-mediated decrease,and 5-increase.",24651478
MALAT1,PRO1073;MALAT-1;NCRNA00047;HCN;NEAT2;LINC00047;mascRNA,11q13.1,HSALNG0084905,"HSALNT0176789,HSALNT0176790,HSALNT0176796,HSALNT0176798,HSALNT0176802,HSALNT0176803,HSALNT0176804,HSALNT0176807,HSALNT0176808,HSALNT0176810,HSALNT0176813,HSALNT0176815,HSALNT0176817,HSALNT0176818,HSALNT0176819,HSALNT0176821,HSALNT0176823,HSALNT0176825,HSALNT0176826,HSALNT0176827,HSALNT0176830,HSALNT0176832,HSALNT0176833,HSALNT0176835,HSALNT0176837,HSALNT0176838,HSALNT0289363,HSALNT0363299,HSALNT0363300,HSALNT0363301,HSALNT0363302,HSALNT0363303,HSALNT0363304,HSALNT0363305,HSALNT0363306,HSALNT0363307,HSALNT0363308,HSALNT0363309,HSALNT0363310,HSALNT0363311,HSALNT0363312,HSALNT0363313,HSALNT0363315,HSALNT0363316,HSALNT0363317,HSALNT0363318,HSALNT0363319,HSALNT0363320,HSALNT0363321,HSALNT0363322,HSALNT0363323,HSALNT0363324,HSALNT0363325",Y,NA,Mammal,Disease,parkinson's disease,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QRT-PCR;Q-RCR;Wetern blotting assay,NA,NA,NA,NA,NA,NA,It may be used in monitoring disease progression and it may serve as potential new targets for novel therapeutic approaches.,27021022
MALAT1,PRO1073;MALAT-1;NCRNA00047;HCN;NEAT2;LINC00047;mascRNA,11q13.1,HSALNG0084905,"HSALNT0176789,HSALNT0176790,HSALNT0176796,HSALNT0176798,HSALNT0176802,HSALNT0176803,HSALNT0176804,HSALNT0176807,HSALNT0176808,HSALNT0176810,HSALNT0176813,HSALNT0176815,HSALNT0176817,HSALNT0176818,HSALNT0176819,HSALNT0176821,HSALNT0176823,HSALNT0176825,HSALNT0176826,HSALNT0176827,HSALNT0176830,HSALNT0176832,HSALNT0176833,HSALNT0176835,HSALNT0176837,HSALNT0176838,HSALNT0289363,HSALNT0363299,HSALNT0363300,HSALNT0363301,HSALNT0363302,HSALNT0363303,HSALNT0363304,HSALNT0363305,HSALNT0363306,HSALNT0363307,HSALNT0363308,HSALNT0363309,HSALNT0363310,HSALNT0363311,HSALNT0363312,HSALNT0363313,HSALNT0363315,HSALNT0363316,HSALNT0363317,HSALNT0363318,HSALNT0363319,HSALNT0363320,HSALNT0363321,HSALNT0363322,HSALNT0363323,HSALNT0363324,HSALNT0363325",Y,NA,Mammal,Disease,parkinson's disease,Bone;Sy5y,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,alpha-synuclein,NA,NA,QRT-PCR;Q-RCR;Wetern blotting assay,NA,NA,NA,NA,NA,NA,"Rna pull-down and immunoprecipitation assays confirmed that malat1 associated with 伭synuclein,leading to the increased stability of 伭synuclein and its expression in sh-sy5y cells.βasarone functions as a neuroprotective effect in both in vivo and in vitro models of pd via regulating malat1 and 伭synuclein expression.",27470562
MALAT1,PRO1073;MALAT-1;NCRNA00047;HCN;NEAT2;LINC00047;mascRNA,11q13.1,HSALNG0084905,"HSALNT0176789,HSALNT0176790,HSALNT0176796,HSALNT0176798,HSALNT0176802,HSALNT0176803,HSALNT0176804,HSALNT0176807,HSALNT0176808,HSALNT0176810,HSALNT0176813,HSALNT0176815,HSALNT0176817,HSALNT0176818,HSALNT0176819,HSALNT0176821,HSALNT0176823,HSALNT0176825,HSALNT0176826,HSALNT0176827,HSALNT0176830,HSALNT0176832,HSALNT0176833,HSALNT0176835,HSALNT0176837,HSALNT0176838,HSALNT0289363,HSALNT0363299,HSALNT0363300,HSALNT0363301,HSALNT0363302,HSALNT0363303,HSALNT0363304,HSALNT0363305,HSALNT0363306,HSALNT0363307,HSALNT0363308,HSALNT0363309,HSALNT0363310,HSALNT0363311,HSALNT0363312,HSALNT0363313,HSALNT0363315,HSALNT0363316,HSALNT0363317,HSALNT0363318,HSALNT0363319,HSALNT0363320,HSALNT0363321,HSALNT0363322,HSALNT0363323,HSALNT0363324,HSALNT0363325",Y,NA,Mammal,Disease,parkinson's disease,Stomach;Mn9d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,miRNA,miR-205-5p,RNA-RNA,NA,NA,NA,NA,NA,NA,NA,NA,"The malat1/mir-205-5p axis regulates mpp+-induced apoptosis in mn9d cells by targeting lrrk2,thereby improving our understanding of the molecular pathogenesis of pd.",29511451
