symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
ADAMTSL4-AS1,FLJ45786;C1orf138,1q21.2,HSALNG0007053,"HSALNT0014982,HSALNT0014983,HSALNT0014985,HSALNT0295687,HSALNT0295688,HSALNT0295689",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07120889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ADORA2A-AS1,FLJ34651;C22orf45,22q11.23,HSALNG0134495,"HSALNT0276015,HSALNT0276023,HSALNT0289481,HSALNT0405182,HSALNT0405183,HSALNT0405184,HSALNT0405185",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg03364108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
BAIAP2-DT,lnc-BAIAP2;BAIAP2-AS1,17q25.3,HSALNG0119226,"HSALNT0246142,HSALNT0392103,HSALNT0392104,HSALNT0392105",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg01219924;cg11609556;cg09187107;cg09138892;cg25282976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
BDNF-AS,BT2A;BT2B;BT2C;BT2D;NCRNA00049;BDNF-AS1;BDNFAS;BDNFOS,11p14.1,HSALNG0083301,"HSALNT0173292,HSALNT0173303,HSALNT0173304,HSALNT0173305,HSALNT0173306,HSALNT0173307,HSALNT0173308,HSALNT0173309,HSALNT0173311,HSALNT0173312,HSALNT0173313,HSALNT0173314,HSALNT0173315,HSALNT0173318,HSALNT0173319,HSALNT0173320,HSALNT0173321,HSALNT0173322,HSALNT0173323,HSALNT0173324,HSALNT0173335,HSALNT0173336,HSALNT0173339,HSALNT0173343,HSALNT0173344,HSALNT0173347,HSALNT0173348,HSALNT0173349,HSALNT0173351,HSALNT0173352,HSALNT0173353,HSALNT0173354,HSALNT0173355,HSALNT0173356,HSALNT0173357,HSALNT0173358,HSALNT0173360,HSALNT0173361,HSALNT0173362,HSALNT0173363,HSALNT0173364,HSALNT0173365,HSALNT0173367,HSALNT0173370,HSALNT0173377,HSALNT0173379,HSALNT0173397,HSALNT0173405,HSALNT0173406,HSALNT0173409,HSALNT0288893,HSALNT0361904,HSALNT0361905,HSALNT0361906,HSALNT0361907,HSALNT0361908,HSALNT0361909,HSALNT0361910,HSALNT0361911,HSALNT0361912,HSALNT0361913,HSALNT0361914,HSALNT0361915,HSALNT0361916,HSALNT0361917,HSALNT0361918,HSALNT0361919,HSALNT0361920,HSALNT0361921,HSALNT0361922,HSALNT0361923,HSALNT0361924,HSALNT0361925,HSALNT0361926,HSALNT0361927,HSALNT0361928,HSALNT0361929,HSALNT0361930,HSALNT0361931,HSALNT0361932,HSALNT0361933,HSALNT0361934,HSALNT0361935,HSALNT0361936,HSALNT0361937,HSALNT0361938,HSALNT0361939,HSALNT0361940,HSALNT0361941,HSALNT0361942,HSALNT0361943,HSALNT0361944,HSALNT0361945,HSALNT0361946,HSALNT0361947,HSALNT0361948,HSALNT0361949,HSALNT0361950,HSALNT0361951,HSALNT0361952,HSALNT0361953,HSALNT0361954,HSALNT0361955,HSALNT0361956,HSALNT0361957,HSALNT0361958,HSALNT0361959,HSALNT0361960,HSALNT0361961,HSALNT0361962,HSALNT0361963,HSALNT0361964,HSALNT0361965",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg09781307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
BLACE,,7q36.3,HSALNG0062567,"HSALNT0131251,HSALNT0131252,HSALNT0131253,HSALNT0131255,HSALNT0131256,HSALNT0289444,HSALNT0344349,HSALNT0344350,HSALNT0344351,HSALNT0344352,HSALNT0344353,HSALNT0344354,HSALNT0344355,HSALNT0344356,HSALNT0344357,HSALNT0344358,HSALNT0344359,HSALNT0344360,HSALNT0344361,HSALNT0344362,HSALNT0344363,HSALNT0344364,HSALNT0344367,HSALNT0344368",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg14927855;cg11937033;cg06840743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
C21orf62-AS1,C21orf49,21q22.11,HSALNG0132718,"HSALNT0272795,HSALNT0272797,HSALNT0272798,HSALNT0272800,HSALNT0272802,HSALNT0272806,HSALNT0272808,HSALNT0272816,HSALNT0272821,HSALNT0272829,HSALNT0272830,HSALNT0272833,HSALNT0272834,HSALNT0403796,HSALNT0403797,HSALNT0403798,HSALNT0403799,HSALNT0403800,HSALNT0403801,HSALNT0403802,HSALNT0403803,HSALNT0403804,HSALNT0403805,HSALNT0403807,HSALNT0403808,HSALNT0403810",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23163200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CADM3-AS1,CTA-134P22.2,1q23.2,HSALNG0007762,"HSALNT0016120,HSALNT0016121,HSALNT0016122,HSALNT0016124,HSALNT0016125,HSALNT0016126,HSALNT0296084,HSALNT0296085",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23018689;cg04922029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CARMN,CARMEN;MIR143HG,5q32,HSALNG0045753,"HSALNT0096060,HSALNT0096061,HSALNT0096062,HSALNT0096064,HSALNT0096065,HSALNT0096069,HSALNT0096070,HSALNT0096071,HSALNT0096075,HSALNT0096076,HSALNT0288904,HSALNT0330170,HSALNT0330171,HSALNT0330172,HSALNT0330173,HSALNT0330174,HSALNT0330175,HSALNT0330176,HSALNT0330177,HSALNT0330178,HSALNT0330179,HSALNT0330180,HSALNT0330181,HSALNT0330182,HSALNT0330183,HSALNT0330184,HSALNT0330185,HSALNT0330186,HSALNT0330187,HSALNT0330188,HSALNT0330189,HSALNT0330190,HSALNT0330191,HSALNT0330192,HSALNT0330193,HSALNT0330194,HSALNT0330195,HSALNT0330196,HSALNT0330197,HSALNT0330198,HSALNT0330199,HSALNT0330200,HSALNT0330201",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg16684117;cg21242144;cg08537847;cg11671363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CASC15,lnc-SOX4-1;LINC00340,6p22.3,HSALNG0048533,"HSALNT0102398,HSALNT0102400,HSALNT0102402,HSALNT0102403,HSALNT0102404,HSALNT0102405,HSALNT0102407,HSALNT0102408,HSALNT0102409,HSALNT0102410,HSALNT0102411,HSALNT0102412,HSALNT0102413,HSALNT0102414,HSALNT0102415,HSALNT0102420,HSALNT0102424,HSALNT0102425,HSALNT0102426,HSALNT0102427,HSALNT0102428,HSALNT0102429,HSALNT0102430,HSALNT0102431,HSALNT0102432,HSALNT0102433,HSALNT0102434,HSALNT0102435,HSALNT0102436,HSALNT0102437,HSALNT0102438,HSALNT0102439,HSALNT0102441,HSALNT0102442,HSALNT0102444,HSALNT0102448,HSALNT0102449,HSALNT0102451,HSALNT0102455,HSALNT0102456,HSALNT0102461,HSALNT0102465,HSALNT0102466,HSALNT0102467,HSALNT0102468,HSALNT0102470,HSALNT0102471,HSALNT0102473,HSALNT0102481,HSALNT0102484,HSALNT0102485,HSALNT0102486,HSALNT0102487,HSALNT0102488,HSALNT0102489,HSALNT0102490,HSALNT0102491,HSALNT0102492,HSALNT0102499,HSALNT0102500,HSALNT0102503,HSALNT0102504,HSALNT0102505,HSALNT0102506,HSALNT0102507,HSALNT0288905,HSALNT0333025,HSALNT0333026,HSALNT0333027,HSALNT0333028,HSALNT0333029,HSALNT0333030,HSALNT0333031,HSALNT0333032,HSALNT0333033,HSALNT0333034,HSALNT0333035,HSALNT0333036,HSALNT0333037,HSALNT0333038,HSALNT0333039,HSALNT0333040,HSALNT0333041,HSALNT0333042,HSALNT0333043,HSALNT0333044,HSALNT0333045,HSALNT0333046,HSALNT0333047,HSALNT0333048,HSALNT0333049,HSALNT0333050,HSALNT0333051,HSALNT0333052,HSALNT0333053,HSALNT0333054,HSALNT0333055,HSALNT0333056,HSALNT0333057,HSALNT0333058,HSALNT0333059,HSALNT0333060,HSALNT0333061,HSALNT0333062,HSALNT0333063,HSALNT0333064,HSALNT0333065,HSALNT0333066,HSALNT0333067,HSALNT0333068,HSALNT0333069,HSALNT0333070,HSALNT0333071,HSALNT0333072,HSALNT0333073,HSALNT0333074,HSALNT0333075,HSALNT0333076,HSALNT0333077,HSALNT0333078,HSALNT0333079,HSALNT0333080,HSALNT0333081,HSALNT0333082,HSALNT0333083,HSALNT0333084,HSALNT0333085,HSALNT0333086,HSALNT0333087,HSALNT0333088,HSALNT0333089,HSALNT0333090,HSALNT0333091,HSALNT0333092,HSALNT0333093,HSALNT0333094,HSALNT0333095,HSALNT0333096,HSALNT0333097,HSALNT0333098,HSALNT0333099,HSALNT0333100,HSALNT0333101,HSALNT0333102,HSALNT0333103,HSALNT0333104,HSALNT0333105,HSALNT0333106,HSALNT0333107,HSALNT0333108,HSALNT0333109,HSALNT0333110,HSALNT0333111,HSALNT0333112,HSALNT0333113,HSALNT0333114,HSALNT0333115,HSALNT0333116,HSALNT0333117,HSALNT0333118,HSALNT0333119,HSALNT0333120,HSALNT0333121,HSALNT0333122,HSALNT0333123,HSALNT0333124,HSALNT0333125,HSALNT0333126,HSALNT0333127,HSALNT0333128,HSALNT0333129,HSALNT0333130,HSALNT0333131,HSALNT0333132,HSALNT0333133,HSALNT0333134,HSALNT0333135,HSALNT0333136,HSALNT0333137,HSALNT0333138,HSALNT0333139,HSALNT0333140,HSALNT0333141,HSALNT0333142,HSALNT0333143,HSALNT0333144,HSALNT0333145,HSALNT0333146,HSALNT0333147,HSALNT0333148,HSALNT0333149,HSALNT0333151,HSALNT0333152,HSALNT0333165,HSALNT0333166,HSALNT0333167,HSALNT0333168,HSALNT0333169,HSALNT0333170,HSALNT0333171,HSALNT0333172,HSALNT0333173,HSALNT0333177,HSALNT0333180,HSALNT0333181,HSALNT0333182,HSALNT0333183,HSALNT0333184,HSALNT0333185",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg10126181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
CCDC26,MGC27434;RAM,8q24.21,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg22586603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
