symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
"ABHD11-AS1","NCRNA00035;WBSCR26;LINC00035","7q11.23","ENSG00000225969.2","","","NA","","Disease","epithelial ovarian cancer","NA","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","PCG","RHOC","RNA-Protein","NA","RNAi;Q-RCR;Rna pull-down assay","NA","Cancer progression;Tumorigenesis","NA","NA","NA","NA","Role of the lncRNA abhd11-as1 in the tumorigenesis and progression of epithelial ovarian cancer through targeted regulation of rhoc/ overexpression of abhd11-as1 upregulation the expression of rhoc and its downstream molecules p70s6k,mmp2 and bcl-xl/ lncRNA abhd11-as1 could directly combine with rhoc/ rhoc is a direct target of the lncRNA abhd11-as1.","28818073"
"AFAP1-AS1","MGC10981;AFAP1AS;AFAP1-AS","4p16.1","HSALNG0032699","HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107","","NA","","Disease","hirschsprung's disease","NA","NA","NA","NA","NA","RNA","Down-regulated","NA","NA","NA","NA","PCG","RAP1B","NA","Promote","Rip;Q-RCR;Wetern blotting assay;Luciferase reporter assay","NA","Cancer progression;Tumorigenesis","NA","ceRNA","NA","NA","LncRNA afap1-as functions as a competing endogenous rna to regulate rap1b expression by sponging mir-181a in the hscr/ knockdown of afap1-as in 293t and sh-sy5y cells suppressed cell proliferation,migration,and induced the loss of cell stress filament integrity,possibly due to afap1-as sequestering mir-181a in hscr cells/furthermore,afap1-as could down-regulate rap1b via its competing endogenous rna (cerna) activity on mir-181a.These findings suggest that aberrant expression of lncRNA afap1-as,a cerna of mir-181a,may involve in the onset and progression of hscr by augmenting the mir-181a target gene,rap1b.","28924375"
"APTR","RSBN1L-AS1","7q11.23","HSALNG0059132","HSALNT0124672,HSALNT0124674,HSALNT0124676,HSALNT0124682,HSALNT0124683,HSALNT0124684,HSALNT0124685,HSALNT0124687,HSALNT0124688,HSALNT0124690,HSALNT0124691,HSALNT0289443,HSALNT0341644,HSALNT0341645,HSALNT0341646,HSALNT0341647,HSALNT0341648,HSALNT0341649,HSALNT0341663,HSALNT0341664,HSALNT0341665,HSALNT0341666,HSALNT0341667,HSALNT0341668,HSALNT0341669,HSALNT0341670,HSALNT0341671,HSALNT0341672,HSALNT0341673,HSALNT0341674,HSALNT0341675,HSALNT0341676,HSALNT0341677,HSALNT0341678,HSALNT0341679,HSALNT0341680,HSALNT0341681,HSALNT0341682,HSALNT0341683,HSALNT0341684","","NA","","Disease","osteosarcoma","Osteosarcoma tissue;Mg63;Saos2","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","PCG","YAP1","NA","Promote","QRT-PCR;Q-RCR;Wetern blotting assay;Luciferase reporter assay","NA","Cancer progression;Cell growth;Apoptosis","NA","ceRNA","NA","NA","Long noncoding rna aptr contributes to osteosarcoma progression through repression of mir-132-3p and upregulation of yes-associated protein 1.We confirmed mir-132-3p to be a target for aptr,and its expression was demonstrated to be inhibited by aptr.Knockdown of aptr and overexpression of mir-132-3p both,remarkably repressed human os cell proliferation,invasion and migration,and induced apoptosis.Yes-associated protein 1 (yap1) was determined as an inhibitory target of mir-132-3p.Knockdown of aptr and overexpression of mir-132-3p both,remarkably repressed human os cell proliferation,invasion and migration,and induced apoptosis.Our findings demonstrated that the repression of yap1 protein expression and the suppression of ki-67,mmp9,and bcl2 expression induced by aptr knockdown required increased mir-132-3p.Thus,aptr contributed to os progression through repression of mir-132-3p and upregulation of yap1 expression/in functional terms,knockdown of aptr and overexpression of mir-132-3p both,remarkably repressed human os cell proliferation,invasion and migration,and induced apoptosis.Also,yes-associated protein 1 (yap1) was determined as an inhibitory target of mir-132-3p.Moreover,our findings demonstrated that the repression of yap1 protein expression and the suppression of ki-67,mmp9,and bcl2 expression induced by aptr knockdown required increased mir-132-3p.Thus,aptr contributed to os progression through repression of mir-132-3p and upregulation of yap1 expression.","30317613"
"BCAR4","","16p13.13","HSALNG0109621","HSALNT0227769,HSALNT0227773,HSALNT0227774,HSALNT0227776,HSALNT0227777,HSALNT0288892,HSALNT0384557,HSALNT0384558,HSALNT0384559,HSALNT0384560,HSALNT0384561,HSALNT0384562,HSALNT0384563,HSALNT0384564,HSALNT0384565,HSALNT0384566,HSALNT0384567","","NA","","Disease","osteosarcoma","Osteosarcoma tissue;Mg63;U2os;Hfob 1.19;Bone","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","TF","GLI2","RNA-DNA","Promote","QRT-PCR;Cell proliferation assay;Luciferase reporter assay;Luciferase reporter gene assay;RNAi;Chirp;Ihc;Q-RCR","NA","Cancer progression","NA","Transcriptional regulation","NA","NA","Chromatin isolation by rna purification assay showed that bcar4 physically associates with the promoters of gli2 target genes.The depletion of bcar4 inhibits the expression of gli2 target genes and gli2 reporter luciferase activity in a dose-dependent manner.In this study,We found that bcar4 was significantly upregulated in osteosarcoma tissues.Increased expression of bcar4 was significantly correlated with large tumor size,advanced enneking stage,lung metastasis,and poor prognosis.Functional experiments demonstrated that knockdown of bcar4 inhibits the proliferation and migration of osteosarcoma cell in vitro.Consistently,knockdown of bcar4 inhibits osteosarcoma tumorigenesis and lung metastasis in vivo.Long noncoding rna bcar4 promotes osteosarcoma progression through activating gli2-dependent gene transcription.Long noncoding rna bcar4 promotes osteosarcoma progression through activating gli2-dependent gene transcription.Chromatin isolation by rna purification assay showed that bcar4 physically associates with the promoters of gli2 target genes.","27460090"
"BCYRN1","BC200;BC200a;NCRNA00004;LINC00004","2p21","ENSG00000236824.2","","Y","NA","Anthropoidea","Disease","breast cancer","Breast cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Ish;Northern hybridization","NA","Cancer progression;Cancer induction","NA","NA","NA","NA","Bc200 rna was expressed in carcinomas of the breast,cervix,oesophagus,lung,ovary,parotid,and tongue,but not in corresponding normal tissues.","9422992"
"BCYRN1","BC200;BC200a;NCRNA00004;LINC00004","2p21","ENSG00000236824.2","","Y","NA","Anthropoidea","Disease","cervical cancer","Cervical cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Ish;Northern hybridization","NA","Cancer progression;Cancer induction","NA","NA","NA","NA","Bc200 rna was expressed in carcinomas of the breast,cervix,oesophagus,lung,ovary,parotid,and tongue,but not in corresponding normal tissues.","9422992"
"BCYRN1","BC200;BC200a;NCRNA00004;LINC00004","2p21","ENSG00000236824.2","","Y","NA","Anthropoidea","Disease","esophageal cancer","Esophageal cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Ish;Northern hybridization","NA","Cancer progression;Cancer induction","NA","NA","NA","NA","Bc200 rna was expressed in carcinomas of the breast,cervix,oesophagus,lung,ovary,parotid,and tongue,but not in corresponding normal tissues.","9422992"
"BCYRN1","BC200;BC200a;NCRNA00004;LINC00004","2p21","ENSG00000236824.2","","Y","NA","Anthropoidea","Disease","lung cancer","Lung cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Ish;Northern hybridization","NA","Cancer progression;Cancer induction","NA","NA","NA","NA","Bc200 rna was expressed in carcinomas of the breast,cervix,oesophagus,lung,ovary,parotid,and tongue,but not in corresponding normal tissues.","9422992"
"BCYRN1","BC200;BC200a;NCRNA00004;LINC00004","2p21","ENSG00000236824.2","","Y","NA","Anthropoidea","Disease","ovarian cancer","Ovarian cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Ish;Northern hybridization","NA","Cancer progression;Cancer induction","NA","NA","NA","NA","Bc200 rna was expressed in carcinomas of the breast,cervix,oesophagus,lung,ovary,parotid,and tongue,but not in corresponding normal tissues.","9422992"
"BCYRN1","BC200;BC200a;NCRNA00004;LINC00004","2p21","ENSG00000236824.2","","Y","NA","Anthropoidea","Disease","parotid cancer","Parotid cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Ish;Northern hybridization","NA","Cancer progression;Cancer induction","NA","NA","NA","NA","Bc200 rna was expressed in carcinomas of the breast,cervix,oesophagus,lung,ovary,parotid,and tongue,but not in corresponding normal tissues.","9422992"
