symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genotyping,NA,NA,NA,NA,NA,NA,Association identified by gwas.,17478679
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,myocardial infarction,NA,SNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genotyping,NA,NA,NA,NA,NA,NA,"Association identified by gwas (rs4977574,a>g).",19198609
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,myocardial infarction,Serum,SNP,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genotyping,NA,NA,NA,NA,NA,NA,A strong association of the anril snp (rs1333049) with mi as well as familial hypercholesterolemia patients in a northern pakistani population and could be used as a useful genetic marker for the screening of mi in the general pakistani population.The risk allele c was at a higher frequency in the mi patients as compared to the controls.,23266621
GDNF-AS1,GDNFOS,5p13.2,,,,NA,,Disease,myocardial infarction,NA,NA,NA,DNA methylation,cg07423205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28172975
H19,D11S813E;ASM;ASM1;NCRNA00008;LINC00008;MIR675HG,11p15.5,HSALNG0082178,"HSALNT0171121,HSALNT0171122,HSALNT0171123,HSALNT0171124,HSALNT0171125,HSALNT0289462,HSALNT0361012,HSALNT0361013,HSALNT0361014,HSALNT0361015,HSALNT0361016,HSALNT0361017,HSALNT0361018,HSALNT0361019,HSALNT0361020,HSALNT0361021,HSALNT0361022,HSALNT0361023,HSALNT0361024,HSALNT0361025,HSALNT0361026,HSALNT0361027,HSALNT0361028,HSALNT0361029,HSALNT0361030,HSALNT0361031",,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,PCG,FADD,NA,Promote,RNAi;Q-RCR;Rna pull-down assay,NA,Myocardial necrosis,NA,ceRNA,NA,NA,"Microrna-103/107 regulate programmed necrosis and myocardial ischemia/reperfusion injury through targeting fadd.Our results show that fadd participates in h2o2-induced necrosis by influencing the formation of ripk1 and ripk3 complexes in h9c2 cells.We further demonstrate that mir-103/107 target fadd directly.Knockdown of mir-103/107 antagonizes necrosis in the cellular model and also myocardial infarction in a mouse ischemia/reperfusion model.The mir-103/107-fadd pathway does not participate in tumor necrosis factor-alpha-induced necrosis.In exploring the molecular mechanism by which mir-103/107 are regulated,weshow that long noncoding rna h19 directly binds to mir-103/107 and regulates fadd expression and necrosis.Our results reveal a novel myocardial necrosis regulation model,which is composed of h19,mir-103/107,and fadd.Modulation of their levels may provide a new approach for preventing myocardial necrosis.",26038570
HAND2-AS1,DEIN;NBLA00301;FLJ11539,4q34.1,,,,NA,,Disease,myocardial infarction,NA,NA,NA,DNA methylation,cg02774439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28172975
HOTTIP,,,,,TRUE,Hottip,Mus Musculus,Disease,myocardial infarction,Heart,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,miRNA,miR-92a-2,RNA-RNA,Inhibit,Rna binding protein immunoprecipitation rip assay,NA,NA,C-met pathway,ceRNA,NA,NA,,35044621
KCNQ1OT1,KvDMR1;KCNQ1-AS2;KvLQT1-AS;LIT1;NCRNA00012,11p15.5,HSALNG0082235,"HSALNT0171216,HSALNT0171217,HSALNT0171219,HSALNT0289421,HSALNT0361046,HSALNT0361047,HSALNT0361048,HSALNT0361049,HSALNT0361050,HSALNT0361058",,NA,,Disease,myocardial infarction,NA,NA,NA,DNA methylation,cg18477587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28172975
LINC00261,bA216C10.1;HCCDR1;TCONS_00027846;ALIEN;DEANR1;onco-lncRNA-17;FALCOR;C20orf56;NCRNA00261,20p11.21,HSALNG0129180,"HSALNT0265499,HSALNT0265500,HSALNT0265501,HSALNT0265502,HSALNT0265503,HSALNT0265504,HSALNT0265505,HSALNT0265506,HSALNT0265507,HSALNT0265508,HSALNT0265509,HSALNT0265510,HSALNT0265511,HSALNT0265513,HSALNT0289026,HSALNT0400042,HSALNT0400043,HSALNT0400044,HSALNT0400045,HSALNT0400046,HSALNT0400047,HSALNT0400048,HSALNT0400049,HSALNT0400050,HSALNT0400051,HSALNT0400052,HSALNT0400053,HSALNT0400054,HSALNT0400055,HSALNT0400056,HSALNT0400057,HSALNT0400058,HSALNT0400059,HSALNT0400060",,NA,,Disease,myocardial infarction,NA,NA,NA,DNA methylation,cg08582485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28172975
LINC00511,onco-lncRNA-12,17q24.3,,,,NA,,Disease,myocardial infarction,NA,NA,NA,DNA methylation,cg06401579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28172975
MIAT,FLJ25967;Rncr2;gomafu;NCRNA00066;LINC00066;lncRNA-MIAT;C22orf35,22q12.1,,,,NA,,Disease,myocardial infarction,Myocardial cell,SNP,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Array;Q-RCR,NA,NA,NA,NA,NA,NA,These results indicate that the altered expression of miat by the snp may play some role in the pathogenesis of mi.In vitro functional analyses revealed that the minor variant of one snp in exon 5 increased transcriptional level of the novel gene.,17066261
MIAT,FLJ25967;Rncr2;gomafu;NCRNA00066;LINC00066;lncRNA-MIAT;C22orf35,22q12.1,,,,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Q-RCR,NA,NA,NA,NA,NA,NA,Snps associated with myocardial infarction localized to a haplotype block that encompassed the last 3 exons of miat.,20951849
MIAT,FLJ25967;Rncr2;gomafu;NCRNA00066;LINC00066;lncRNA-MIAT;C22orf35,22q12.1,,,,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Q-RCR,NA,NA,NA,NA,NA,NA,Miat lincrna variants confer susceptibility to myocardial infarction.,23104877
MIAT,FLJ25967;Rncr2;gomafu;NCRNA00066;LINC00066;lncRNA-MIAT;C22orf35,22q12.1,,,,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array;Q-RCR,NA,NA,NA,NA,NA,NA,"A myocardial infarction-associated transcript (miat),also known as rncr2 or gomafu,is a long intergenic non-coding rna that presents many genetic variants implicated in different processes.A large scale case-control association study regarding cardiovascular disease demonstrates that a miat variant (rs2301523) confers susceptibility to myocardial infarction.",24113581
MIAT,FLJ25967;Rncr2;gomafu;NCRNA00066;LINC00066;lncRNA-MIAT;C22orf35,22q12.1,,,,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Q-RCR,NA,NA,NA,NA,NA,NA,It plays an impoetant role in myocardial infarction.,26707210
MT-LIPCAR,uc022bqs.1;LIPCAR,mitochondria,,,,NA,,Disease,myocardial infarction,NA,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Microarray,NA,NA,NA,NA,NA,NA,The mitochondrial long noncoding rna uc022bqs.1 (lipcar) was downregulated early after myocardial infarction but upregulated during later stages.Lipcar levels identified patients developing cardiac remodeling and were independently to other risk markers associated with future cardiovascular deaths.,24663402
