symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
ADARB2-AS1,bA466B20.1;C10orf109;NCRNA00168,10p15.3,HSALNG0075559,"HSALNT0157365,HSALNT0157367,HSALNT0157368,HSALNT0157369,HSALNT0157370,HSALNT0157371,HSALNT0157372,HSALNT0289522,HSALNT0355598,HSALNT0355599,HSALNT0355600,HSALNT0355601,HSALNT0355602,HSALNT0355603,HSALNT0355604",,NA,,Disease,alzheimer's disease,NA,NA,NA,DNA methylation,cg17672798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30712078
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,Brain tissue,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis;Array,NA,NA,NA,Post-transcriptional regulation,NA,NA,"We identify a conserved noncoding antisense transcript forb-secretase-1 (bace1),a crucial enzyme in alzheimer's disease pathophysiology.The bace1-antisense transcript (bace1-as) regulates bace1 mrna and subsequently bace1 protein expressionin vitro andin vivo.Upon exposure to various cell stressors including amyloid-b1-42(ab1-42),expression of bace1-as becomes elevated,increasing bace1 mrna stability and generating additional ab1-42 through a post-transcriptional feed-forward mechanism.Bace1-as concentrations were elevated in subjects with alzheimer's disease and in amyloid precursor protein transgenic mice.The bace1-antisense transcript (bace1-as) regulates bace1 mrna and subsequently bace1 protein expression in vitro and in vivo.Bace1 mrna expression is under the control of a regulatory noncoding rna that may drive alzheimer's disease-associated pathophysiology.Elevated levels of ab,bace1 proteins,as well as bace1-as have been detected in subjects with alzheimer's disease (ad),suggesting that altered bace1 expression plays a role in the pathogenesis of the disease.Bace1-as is directly implicated in the increased abundance of a就鈠in alzheimer's disease.Here we report that bace1-as,a natural antisense transcript,plays a part in determining bace1 expression.Bace1-as rapidly and reversibly upregulates bace1 levels in response to a variety of stresses,including a就鈠exposure.Furthermore,weshow elevated bace1-as in several brain regions of individuals with alzheimer's disease.These data suggest that this previously unexamined noncoding rna has a role in regulating bace1 and in driving alzheimer's disease pathology.Bace1-as and bace1 transcripts were measured by rt-pcr and normalized to actb as an endogenous control.",18587408
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,Neuronal cell,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,miRNA,miR-148a,NA,Promote,Array,NA,NA,NA,NA,NA,NA,"In addition,neuronal cells exposed to diverse cell stressors (e.G.,reactive oxygen species,chronic hypoxia,and a就鈩 exhibited increased expression and nuclear to cytoplasmic translocation of bace1-as transcripts,where bace1-as promotes the stabilization of bace1 mrna and up-regulation of bace1 protein.",20380817
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,ceRNA,NA,NA,"We report here that bace1-antisense prevents mirna-induced repression of bace1 mrna by masking the binding site for mir-485-5p.Indeed,mir-485-5p and bace1-antisense compete for binding within the same region in the open reading frame of the bace1 mrnawe found that the expression of bace1-antisense as well as mir-485-5p are dysregulated in rna samples from alzheimer's disease subjects compared to control individuals.",20507594
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,The bace1-antisense transcript (bace1-as) is markedly upregulated in brain samples from ad patients and promotes the stability of the (sense) bace1 transcript.,21785702
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,"It has been shown that misexpression of lncRNAs contributes to numerous diseases.For example,an lncRNA may influence the pathogenesis of alzheimer's disease.The bace1-as can regulate bace1 mrna expression.Bace1 mrna expression is under the control of a regulatory non-coding rna that may drive alzheimer's disease-associated pathophysiology.",22535282
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,"Bace1 is one of two peptidases that carry out the initial proteolytic cleavage of app,allowing it to accumulate in the brain.Bace1as levels were found to be higher in human subjects with ad,and also in bace1 transgenic mouse models of ad.",22817756
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,He accumulation of this protein has been implicated in many neurological disorders and elevated levels of both bace1 and bace1-as have been detected in subjects with alzheimer's disease.,22928560
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,"Bace1-as is elevated in brains of patients with ad,suggesting that the lncRNA is the driving force behind bace1 dysregulation in ad.",23562612
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,Genomic context links lncRNAs to disease genes/loci and related pathways.,23791884
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,The expression of bace1 antisense transcript (bace1-as) was linked to increased amyloid-就鈠in patients with alzheimer锛妔 disease and gave rise for a stabilizing function of the lncRNA.,24531795
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Bioinformatic analysis,NA,NA,NA,NA,NA,NA,"In alzheimer disease,the protein-coding gene bace-1 (βsite amyloid precursor protein-cleaving enzyme) cleaves amyloid precursor protein (app) to βamyloid peptide (a尬the accumulation of which (amyloid plaques) is associated with disease.LncRNA bace1-as,located on the antisense strand to bace1,binds complementarily to bace1 mrna,increases its stability,regulates bace1 translation,and thereby the production of a對",24667321
BACE1-AS,FJ573250;NCRNA00177;BACE1-AS1;BACE1AS,11q23.3,HSALNG0087449,"HSALNT0181744,HSALNT0181745,HSALNT0181747,HSALNT0181748,HSALNT0181749,HSALNT0288891,HSALNT0365090,HSALNT0365091",,NA,,Disease,alzheimer's disease,Brain tissue,NA,NA,NA,NA,RNA,Up-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Hud also associated with and stabilized the long noncoding (lnc)rna bace1as,which partly complements bace1 mrna and enhances bace1 expression.Consistent with hud promoting production of app and app-cleaving enzyme,the levels of app,bace1,bace1as,and abeta were higher in the brain of hud-overexpressing mice.Importantly,cortex (superior temporal gyrus) from patients with ad displayed significantly higher levels of hud and,accordingly,elevated app,bace1,bace1as,and abeta than did cortical tissue from healthy age-matched individuals.",24857657
