symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
ADAMTSL4-AS1,FLJ45786;C1orf138,1q21.2,HSALNG0007053,"HSALNT0014982,HSALNT0014983,HSALNT0014985,HSALNT0295687,HSALNT0295688,HSALNT0295689",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg26118326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26556652
AFAP1-AS1,MGC10981;AFAP1AS;AFAP1-AS,4p16.1,HSALNG0032699,"HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg07032359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,27585642
AFAP1-AS1,MGC10981;AFAP1AS;AFAP1-AS,4p16.1,HSALNG0032699,"HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg27340958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29743579
ARF4-AS1,,3p14.3,HSALNG0026365,"HSALNT0055035,HSALNT0055036,HSALNT0055038,HSALNT0055041,HSALNT0055042,HSALNT0311946,HSALNT0311947,HSALNT0311948,HSALNT0311949,HSALNT0311950,HSALNT0311951,HSALNT0311952,HSALNT0311953,HSALNT0311954,HSALNT0311955,HSALNT0311956",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg08081407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26556652
ARRDC3-AS1,,5q14.3,HSALNG0043449,"HSALNT0091337,HSALNT0091338,HSALNT0091339,HSALNT0091340,HSALNT0091341,HSALNT0091342,HSALNT0091343,HSALNT0091345,HSALNT0091346,HSALNT0091347,HSALNT0091354,HSALNT0091359,HSALNT0091361,HSALNT0328151,HSALNT0328152,HSALNT0328153,HSALNT0328154,HSALNT0328155,HSALNT0328156,HSALNT0328157,HSALNT0328158,HSALNT0328159,HSALNT0328160,HSALNT0328162",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg00598143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,27585642
ATP11AUN,FLJ26443;SMABLO1;C13orf35,13q34,,,,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg25137436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29743579
BDNF-AS,BT2A;BT2B;BT2C;BT2D;NCRNA00049;BDNF-AS1;BDNFAS;BDNFOS,11p14.1,HSALNG0083301,"HSALNT0173292,HSALNT0173303,HSALNT0173304,HSALNT0173305,HSALNT0173306,HSALNT0173307,HSALNT0173308,HSALNT0173309,HSALNT0173311,HSALNT0173312,HSALNT0173313,HSALNT0173314,HSALNT0173315,HSALNT0173318,HSALNT0173319,HSALNT0173320,HSALNT0173321,HSALNT0173322,HSALNT0173323,HSALNT0173324,HSALNT0173335,HSALNT0173336,HSALNT0173339,HSALNT0173343,HSALNT0173344,HSALNT0173347,HSALNT0173348,HSALNT0173349,HSALNT0173351,HSALNT0173352,HSALNT0173353,HSALNT0173354,HSALNT0173355,HSALNT0173356,HSALNT0173357,HSALNT0173358,HSALNT0173360,HSALNT0173361,HSALNT0173362,HSALNT0173363,HSALNT0173364,HSALNT0173365,HSALNT0173367,HSALNT0173370,HSALNT0173377,HSALNT0173379,HSALNT0173397,HSALNT0173405,HSALNT0173406,HSALNT0173409,HSALNT0288893,HSALNT0361904,HSALNT0361905,HSALNT0361906,HSALNT0361907,HSALNT0361908,HSALNT0361909,HSALNT0361910,HSALNT0361911,HSALNT0361912,HSALNT0361913,HSALNT0361914,HSALNT0361915,HSALNT0361916,HSALNT0361917,HSALNT0361918,HSALNT0361919,HSALNT0361920,HSALNT0361921,HSALNT0361922,HSALNT0361923,HSALNT0361924,HSALNT0361925,HSALNT0361926,HSALNT0361927,HSALNT0361928,HSALNT0361929,HSALNT0361930,HSALNT0361931,HSALNT0361932,HSALNT0361933,HSALNT0361934,HSALNT0361935,HSALNT0361936,HSALNT0361937,HSALNT0361938,HSALNT0361939,HSALNT0361940,HSALNT0361941,HSALNT0361942,HSALNT0361943,HSALNT0361944,HSALNT0361945,HSALNT0361946,HSALNT0361947,HSALNT0361948,HSALNT0361949,HSALNT0361950,HSALNT0361951,HSALNT0361952,HSALNT0361953,HSALNT0361954,HSALNT0361955,HSALNT0361956,HSALNT0361957,HSALNT0361958,HSALNT0361959,HSALNT0361960,HSALNT0361961,HSALNT0361962,HSALNT0361963,HSALNT0361964,HSALNT0361965",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg05795005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30176915
BISPR,,19p13.11,HSALNG0124521,"HSALNT0256574,HSALNT0256581,HSALNT0256583,HSALNT0256589,HSALNT0256610,HSALNT0256613,HSALNT0256614,HSALNT0256629,HSALNT0396425,HSALNT0396426,HSALNT0396427,HSALNT0396428,HSALNT0396429,HSALNT0396430,HSALNT0396431,HSALNT0396432,HSALNT0396433,HSALNT0396434,HSALNT0396435,HSALNT0396436,HSALNT0396437,HSALNT0396438,HSALNT0396439,HSALNT0396440,HSALNT0396441,HSALNT0396442,HSALNT0396443,HSALNT0396444",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg01329005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,27585642
BLACE,,7q36.3,HSALNG0062567,"HSALNT0131251,HSALNT0131252,HSALNT0131253,HSALNT0131255,HSALNT0131256,HSALNT0289444,HSALNT0344349,HSALNT0344350,HSALNT0344351,HSALNT0344352,HSALNT0344353,HSALNT0344354,HSALNT0344355,HSALNT0344356,HSALNT0344357,HSALNT0344358,HSALNT0344359,HSALNT0344360,HSALNT0344361,HSALNT0344362,HSALNT0344363,HSALNT0344364,HSALNT0344367,HSALNT0344368",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg06840743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29743579
C5-OT1,C5T1lncRNA,9q33.2,,,,NA,,Disease,rheumatoid arthritis,Huh7;Liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C5,NA,NA,NA,NA,NA,NA,NA,NA,NA,C5t1lncRNA is expressed predominantly in the nucleus and its expression correlates positively with c5 mrna in various tissues (p=0.001) and in peripheral blood mononuclear cells (p=0.02) indicating transcriptional co-regulation.Knockdown results in a concurrent decrease in c5 mrna levels but not of other neighbouring genes.,26673966
CALHM6-AS1,RP1-93H18.6,6q22.1,HSALNG0053007,"HSALNT0112198,HSALNT0112199,HSALNT0112200,HSALNT0112201",,NA,,Disease,rheumatoid arthritis,NA,NA,NA,DNA methylation,cg15492982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30176915
