symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
BDNF-AS,BT2A;BT2B;BT2C;BT2D;NCRNA00049;BDNF-AS1;BDNFAS;BDNFOS,11p14.1,HSALNG0083301,"HSALNT0173292,HSALNT0173303,HSALNT0173304,HSALNT0173305,HSALNT0173306,HSALNT0173307,HSALNT0173308,HSALNT0173309,HSALNT0173311,HSALNT0173312,HSALNT0173313,HSALNT0173314,HSALNT0173315,HSALNT0173318,HSALNT0173319,HSALNT0173320,HSALNT0173321,HSALNT0173322,HSALNT0173323,HSALNT0173324,HSALNT0173335,HSALNT0173336,HSALNT0173339,HSALNT0173343,HSALNT0173344,HSALNT0173347,HSALNT0173348,HSALNT0173349,HSALNT0173351,HSALNT0173352,HSALNT0173353,HSALNT0173354,HSALNT0173355,HSALNT0173356,HSALNT0173357,HSALNT0173358,HSALNT0173360,HSALNT0173361,HSALNT0173362,HSALNT0173363,HSALNT0173364,HSALNT0173365,HSALNT0173367,HSALNT0173370,HSALNT0173377,HSALNT0173379,HSALNT0173397,HSALNT0173405,HSALNT0173406,HSALNT0173409,HSALNT0288893,HSALNT0361904,HSALNT0361905,HSALNT0361906,HSALNT0361907,HSALNT0361908,HSALNT0361909,HSALNT0361910,HSALNT0361911,HSALNT0361912,HSALNT0361913,HSALNT0361914,HSALNT0361915,HSALNT0361916,HSALNT0361917,HSALNT0361918,HSALNT0361919,HSALNT0361920,HSALNT0361921,HSALNT0361922,HSALNT0361923,HSALNT0361924,HSALNT0361925,HSALNT0361926,HSALNT0361927,HSALNT0361928,HSALNT0361929,HSALNT0361930,HSALNT0361931,HSALNT0361932,HSALNT0361933,HSALNT0361934,HSALNT0361935,HSALNT0361936,HSALNT0361937,HSALNT0361938,HSALNT0361939,HSALNT0361940,HSALNT0361941,HSALNT0361942,HSALNT0361943,HSALNT0361944,HSALNT0361945,HSALNT0361946,HSALNT0361947,HSALNT0361948,HSALNT0361949,HSALNT0361950,HSALNT0361951,HSALNT0361952,HSALNT0361953,HSALNT0361954,HSALNT0361955,HSALNT0361956,HSALNT0361957,HSALNT0361958,HSALNT0361959,HSALNT0361960,HSALNT0361961,HSALNT0361962,HSALNT0361963,HSALNT0361964,HSALNT0361965",,NA,,Disease,huntington's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis,NA,NA,NA,NA,NA,NA,"The lncRNA bdnf-as is related to many neurological disorders,including huntington's disease (hd),schizophrenia,and depression.",23562612
BDNF-AS,BT2A;BT2B;BT2C;BT2D;NCRNA00049;BDNF-AS1;BDNFAS;BDNFOS,11p14.1,HSALNG0083301,"HSALNT0173292,HSALNT0173303,HSALNT0173304,HSALNT0173305,HSALNT0173306,HSALNT0173307,HSALNT0173308,HSALNT0173309,HSALNT0173311,HSALNT0173312,HSALNT0173313,HSALNT0173314,HSALNT0173315,HSALNT0173318,HSALNT0173319,HSALNT0173320,HSALNT0173321,HSALNT0173322,HSALNT0173323,HSALNT0173324,HSALNT0173335,HSALNT0173336,HSALNT0173339,HSALNT0173343,HSALNT0173344,HSALNT0173347,HSALNT0173348,HSALNT0173349,HSALNT0173351,HSALNT0173352,HSALNT0173353,HSALNT0173354,HSALNT0173355,HSALNT0173356,HSALNT0173357,HSALNT0173358,HSALNT0173360,HSALNT0173361,HSALNT0173362,HSALNT0173363,HSALNT0173364,HSALNT0173365,HSALNT0173367,HSALNT0173370,HSALNT0173377,HSALNT0173379,HSALNT0173397,HSALNT0173405,HSALNT0173406,HSALNT0173409,HSALNT0288893,HSALNT0361904,HSALNT0361905,HSALNT0361906,HSALNT0361907,HSALNT0361908,HSALNT0361909,HSALNT0361910,HSALNT0361911,HSALNT0361912,HSALNT0361913,HSALNT0361914,HSALNT0361915,HSALNT0361916,HSALNT0361917,HSALNT0361918,HSALNT0361919,HSALNT0361920,HSALNT0361921,HSALNT0361922,HSALNT0361923,HSALNT0361924,HSALNT0361925,HSALNT0361926,HSALNT0361927,HSALNT0361928,HSALNT0361929,HSALNT0361930,HSALNT0361931,HSALNT0361932,HSALNT0361933,HSALNT0361934,HSALNT0361935,HSALNT0361936,HSALNT0361937,HSALNT0361938,HSALNT0361939,HSALNT0361940,HSALNT0361941,HSALNT0361942,HSALNT0361943,HSALNT0361944,HSALNT0361945,HSALNT0361946,HSALNT0361947,HSALNT0361948,HSALNT0361949,HSALNT0361950,HSALNT0361951,HSALNT0361952,HSALNT0361953,HSALNT0361954,HSALNT0361955,HSALNT0361956,HSALNT0361957,HSALNT0361958,HSALNT0361959,HSALNT0361960,HSALNT0361961,HSALNT0361962,HSALNT0361963,HSALNT0361964,HSALNT0361965",,NA,,Disease,huntington's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis,NA,NA,NA,NA,NA,NA,"Thus,bdnf-as inhibits bdnf transcription by recruiting ezh2 to the bdnf promoter region and in that way plays an important role in the development of hd.",24624135
DGCR5,NCRNA00037;LINC00037;X91348;DGS-A;POM121L5P;DGS-B;DGCR9;DGCR10,22q11.21,ENSG00000237517.9,,,NA,,Disease,huntington's disease,Brain tissue,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"The digeorge syndrome-associated noncoding rna,dgcr5,is repressed by rest through a proximal upstream binding site.",19050060
DGCR5,NCRNA00037;LINC00037;X91348;DGS-A;POM121L5P;DGS-B;DGCR9;DGCR10,22q11.21,ENSG00000237517.9,,,NA,,Disease,huntington's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Interestingly,many of these lncRNAs contain genomic binding sites for the transcriptional repressor rest,a key mediator of transcriptional changes in hd,including the known rest target lncRNA,dgcr5.",23346095
FAM181A-AS1,C14orf86,14q32.12,HSALNG0103330,"HSALNT0214951,HSALNT0214952,HSALNT0214954,HSALNT0214956,HSALNT0214957,HSALNT0214959,HSALNT0214960,HSALNT0214962,HSALNT0214963,HSALNT0214964,HSALNT0214966,HSALNT0378759,HSALNT0378760,HSALNT0378761",,NA,,Disease,huntington's disease,NA,NA,NA,DNA methylation,cg20022541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30158895
HAR1A,HAR1F;NCRNA00064;LINC00064,20q13.33,HSALNG0131591,"HSALNT0270426,HSALNT0270427,HSALNT0270430,HSALNT0270431,HSALNT0289475,HSALNT0402446,HSALNT0402447,HSALNT0402448,HSALNT0402449,HSALNT0402450",,NA,,Disease,huntington's disease,Brain tissue,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Chip-seq;Luciferase reporter gene assay;Q-RCR,NA,NA,NA,NA,NA,NA,"We show that rest is targeted to the har1 locus by specific dna regulatory motifs,resulting in potent transcriptional repression.Consistent with other rest target genes,har1 levels are significantly lower in the striatum of hd patients compared to unaffected individuals.",20179156
HAR1A,HAR1F;NCRNA00064;LINC00064,20q13.33,HSALNG0131591,"HSALNT0270426,HSALNT0270427,HSALNT0270430,HSALNT0270431,HSALNT0289475,HSALNT0402446,HSALNT0402447,HSALNT0402448,HSALNT0402449,HSALNT0402450",,NA,,Disease,huntington's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis,NA,NA,NA,NA,NA,NA,"Har1 has also been implicated in hd,where the transcriptional repressor re-1-silencing transcription factor (rest) enters pathologically into the nucleus,leading to the repression of several important neuronal genes.",23562612
HAR1B,HAR1R;NCRNA00065;LINC00065,20q13.33,HSALNG0131589,"HSALNT0270416,HSALNT0270417,HSALNT0270418,HSALNT0270419,HSALNT0270420,HSALNT0270421,HSALNT0270423,HSALNT0270424,HSALNT0288995,HSALNT0402439,HSALNT0402440,HSALNT0402441,HSALNT0402442,HSALNT0402443,HSALNT0402444,HSALNT0402445",,NA,,Disease,huntington's disease,Brain tissue,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Chip-seq;Luciferase reporter gene assay;Q-RCR,NA,NA,NA,NA,NA,NA,"We show that rest is targeted to the har1 locus by specific dna regulatory motifs,resulting in potent transcriptional repression.Consistent with other rest target genes,har1 levels are significantly lower in the striatum of hd patients compared to unaffected individuals.",20179156
HAR1B,HAR1R;NCRNA00065;LINC00065,20q13.33,HSALNG0131589,"HSALNT0270416,HSALNT0270417,HSALNT0270418,HSALNT0270419,HSALNT0270420,HSALNT0270421,HSALNT0270423,HSALNT0270424,HSALNT0288995,HSALNT0402439,HSALNT0402440,HSALNT0402441,HSALNT0402442,HSALNT0402443,HSALNT0402444,HSALNT0402445",,NA,,Disease,huntington's disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis,NA,NA,NA,NA,NA,NA,"Har1 has also been implicated in hd,where the transcriptional repressor re-1-silencing transcription factor (rest) enters pathologically into the nucleus,leading to the repression of several important neuronal genes.",23562612
HTT-AS,HTTAS;HTT-AS1,4p16.3,HSALNG0032415,"HSALNT0068180,HSALNT0068181,HSALNT0068185,HSALNT0317866,HSALNT0317867,HSALNT0317868,HSALNT0317869,HSALNT0317870",,NA,,Disease,huntington's disease,Brain tissue,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Ss-rtpcr,NA,NA,NA,NA,NA,NA,"Consistent with the reporter assays,levels of httas_v1 are reduced in human hd frontal cortex.",21672921
