symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
A1BG-AS1,FLJ23569;NCRNA00181;A1BGAS;A1BG-AS,19q13.43,HSALNG0127948,"HSALNT0263067,HSALNT0263068,HSALNT0263069,HSALNT0263072,HSALNT0263073,HSALNT0263074,HSALNT0263076,HSALNT0263077,HSALNT0263078,HSALNT0263079,HSALNT0263081,HSALNT0263082,HSALNT0263083,HSALNT0263084,HSALNT0263085,HSALNT0263087,HSALNT0263088,HSALNT0399021,HSALNT0399022,HSALNT0399023,HSALNT0399024,HSALNT0399025,HSALNT0399026,HSALNT0399027,HSALNT0399028,HSALNT0399029,HSALNT0399030,HSALNT0399031,HSALNT0399032,HSALNT0399033",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg12461677;cg08389151;cg22889142;cg14222245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29692867
ADD3-AS1,,10q25.1,HSALNG0080557,"HSALNT0168002,HSALNT0168003,HSALNT0168004,HSALNT0168005,HSALNT0359946,HSALNT0359947,HSALNT0359948,HSALNT0359949,HSALNT0359950,HSALNT0359951,HSALNT0359952,HSALNT0359953,HSALNT0359954,HSALNT0359955,HSALNT0359956",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg23691894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29692867
ADIRF-AS1,,10q23.2,HSALNG0079425,"HSALNT0165752,HSALNT0165753,HSALNT0165754,HSALNT0165756,HSALNT0359011,HSALNT0359012,HSALNT0359013,HSALNT0359014,HSALNT0359015,HSALNT0359016,HSALNT0359017,HSALNT0359018,HSALNT0359019",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg14209784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29692867
AFAP1-AS1,MGC10981;AFAP1AS;AFAP1-AS,4p16.1,HSALNG0032699,"HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg21964084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26977391
AGAP2-AS1,LOC100130776;PUNISHER,12q14.1,HSALNG0091650,"HSALNT0190028,HSALNT0289464,HSALNT0368549,HSALNT0368550,HSALNT0368551,HSALNT0368552",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg23387569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29692867
AQP4-AS1,FLJ30507;C18orf16;CHST9-AS1,18q11.2,HSALNG0120581,"HSALNT0249170,HSALNT0249171,HSALNT0249172,HSALNT0249178,HSALNT0249180,HSALNT0249185,HSALNT0249186,HSALNT0249191,HSALNT0249193,HSALNT0249204,HSALNT0249205,HSALNT0249206,HSALNT0249207,HSALNT0249208,HSALNT0249209,HSALNT0249211,HSALNT0249212,HSALNT0249223,HSALNT0249224,HSALNT0249225,HSALNT0249227,HSALNT0249228,HSALNT0249229,HSALNT0249230,HSALNT0249231,HSALNT0249232,HSALNT0249233,HSALNT0249234,HSALNT0249235,HSALNT0249236,HSALNT0249238,HSALNT0249239,HSALNT0249241,HSALNT0249243,HSALNT0249247,HSALNT0249248,HSALNT0249249,HSALNT0249250,HSALNT0249251,HSALNT0249252,HSALNT0393520,HSALNT0393521,HSALNT0393522,HSALNT0393523,HSALNT0393524,HSALNT0393525,HSALNT0393526,HSALNT0393527,HSALNT0393528,HSALNT0393529,HSALNT0393530,HSALNT0393531,HSALNT0393532,HSALNT0393533,HSALNT0393534,HSALNT0393535,HSALNT0393536,HSALNT0393538,HSALNT0393539,HSALNT0393540,HSALNT0393541,HSALNT0393543,HSALNT0393562,HSALNT0393563,HSALNT0393564,HSALNT0393565,HSALNT0393566,HSALNT0393567,HSALNT0393568,HSALNT0393569,HSALNT0393573",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg25071349;cg24667758;cg15976539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26977391
ATP1A1-AS1,MGC16179;C1orf203;ATP1A1OS,1p13.1,HSALNG0006325,"HSALNT0013233,HSALNT0013238,HSALNT0013239,HSALNT0013241,HSALNT0013242,HSALNT0013243,HSALNT0013244,HSALNT0294858,HSALNT0294859,HSALNT0294860,HSALNT0294861,HSALNT0294862,HSALNT0294863,HSALNT0294864,HSALNT0294865,HSALNT0294866,HSALNT0294867,HSALNT0294868,HSALNT0294869,HSALNT0294870,HSALNT0294871,HSALNT0294872,HSALNT0294873,HSALNT0294874,HSALNT0294875",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg04902929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29692867
ATXN8OS,NCRNA00003;SCA8;KLHL1AS,13q21.33,HSALNG0097806,"HSALNT0203410,HSALNT0203413,HSALNT0203414,HSALNT0203415,HSALNT0203416,HSALNT0203419,HSALNT0203420,HSALNT0203421,HSALNT0373929,HSALNT0373930,HSALNT0373931,HSALNT0373932,HSALNT0373933,HSALNT0373934,HSALNT0373935,HSALNT0373936",,NA,,Disease,obesity,NA,Rearrangement,NA,DNA methylation,cg25514273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,29692867
BCAR4,,16p13.13,HSALNG0109621,"HSALNT0227769,HSALNT0227773,HSALNT0227774,HSALNT0227776,HSALNT0227777,HSALNT0288892,HSALNT0384557,HSALNT0384558,HSALNT0384559,HSALNT0384560,HSALNT0384561,HSALNT0384562,HSALNT0384563,HSALNT0384564,HSALNT0384565,HSALNT0384566,HSALNT0384567",,NA,,Disease,obesity,NA,NA,NA,DNA methylation,cg05694761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26977391
BDNF-AS,BT2A;BT2B;BT2C;BT2D;NCRNA00049;BDNF-AS1;BDNFAS;BDNFOS,11p14.1,HSALNG0083301,"HSALNT0173292,HSALNT0173303,HSALNT0173304,HSALNT0173305,HSALNT0173306,HSALNT0173307,HSALNT0173308,HSALNT0173309,HSALNT0173311,HSALNT0173312,HSALNT0173313,HSALNT0173314,HSALNT0173315,HSALNT0173318,HSALNT0173319,HSALNT0173320,HSALNT0173321,HSALNT0173322,HSALNT0173323,HSALNT0173324,HSALNT0173335,HSALNT0173336,HSALNT0173339,HSALNT0173343,HSALNT0173344,HSALNT0173347,HSALNT0173348,HSALNT0173349,HSALNT0173351,HSALNT0173352,HSALNT0173353,HSALNT0173354,HSALNT0173355,HSALNT0173356,HSALNT0173357,HSALNT0173358,HSALNT0173360,HSALNT0173361,HSALNT0173362,HSALNT0173363,HSALNT0173364,HSALNT0173365,HSALNT0173367,HSALNT0173370,HSALNT0173377,HSALNT0173379,HSALNT0173397,HSALNT0173405,HSALNT0173406,HSALNT0173409,HSALNT0288893,HSALNT0361904,HSALNT0361905,HSALNT0361906,HSALNT0361907,HSALNT0361908,HSALNT0361909,HSALNT0361910,HSALNT0361911,HSALNT0361912,HSALNT0361913,HSALNT0361914,HSALNT0361915,HSALNT0361916,HSALNT0361917,HSALNT0361918,HSALNT0361919,HSALNT0361920,HSALNT0361921,HSALNT0361922,HSALNT0361923,HSALNT0361924,HSALNT0361925,HSALNT0361926,HSALNT0361927,HSALNT0361928,HSALNT0361929,HSALNT0361930,HSALNT0361931,HSALNT0361932,HSALNT0361933,HSALNT0361934,HSALNT0361935,HSALNT0361936,HSALNT0361937,HSALNT0361938,HSALNT0361939,HSALNT0361940,HSALNT0361941,HSALNT0361942,HSALNT0361943,HSALNT0361944,HSALNT0361945,HSALNT0361946,HSALNT0361947,HSALNT0361948,HSALNT0361949,HSALNT0361950,HSALNT0361951,HSALNT0361952,HSALNT0361953,HSALNT0361954,HSALNT0361955,HSALNT0361956,HSALNT0361957,HSALNT0361958,HSALNT0361959,HSALNT0361960,HSALNT0361961,HSALNT0361962,HSALNT0361963,HSALNT0361964,HSALNT0361965",,NA,,Disease,obesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genotyping,NA,NA,NA,NA,NA,NA,"Association identified by gwas (rs4074134,a118887g).",19079260
