symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
ADARB2-AS1,bA466B20.1;C10orf109;NCRNA00168,10p15.3,HSALNG0075559,"HSALNT0157365,HSALNT0157367,HSALNT0157368,HSALNT0157369,HSALNT0157370,HSALNT0157371,HSALNT0157372,HSALNT0289522,HSALNT0355598,HSALNT0355599,HSALNT0355600,HSALNT0355601,HSALNT0355602,HSALNT0355603,HSALNT0355604",,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg19976363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25091541
ADD3-AS1,,10q25.1,HSALNG0080557,"HSALNT0168002,HSALNT0168003,HSALNT0168004,HSALNT0168005,HSALNT0359946,HSALNT0359947,HSALNT0359948,HSALNT0359949,HSALNT0359950,HSALNT0359951,HSALNT0359952,HSALNT0359953,HSALNT0359954,HSALNT0359955,HSALNT0359956",,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg10646968;cg18516365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25091541
AGAP2-AS1,PUNISHER,,,,,NA,,Disease,Atherosclerosis,HA-VSMC;artery,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,"Protein,miRNA",AGO2;miR-664a-5p,"Protein-RNA,RNA-RNA","Promote,Inhibit",NA,Mitochondrial Fission Regulation,Apoptosis,NA,ceRNA,NA,H2O2 treatment,,35663194
BGLT3,LINC01083;BGL3;lncRNA-BGL3,11p15.4,HSALNG0082362,"HSALNT0171402,HSALNT0288894,HSALNT0409632",,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg26078436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25091541
CASC7,,,,,,NA,,Disease,Atherosclerosis,Artery,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,miRNA,miR-21,RNA-RNA,Inhibit,NA,NA,NA,Nf-κb signaling pathway,ceRNA,NA,NA,,34887360
CCDC26,MGC27434;RAM,8q24.21,,,,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg16675872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25091541
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,Cancer proliferation,NA,NA,NA,NA,"9p21.3 may promote atherosclerosis by regulating expression of anril,which in turn is associated with altered expression of genes controlling cellular proliferation pathways.",19592466
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,NA,NA,NA,NA,NA,Transcripts eu741058 and nr_003529 of antisense noncoding rna in the ink4 locus (anril) were significantly increased in carriers of the risk haplotype.Anril expression is associated with atherosclerosis risk.Expression of anril transcripts was directly correlated with severity of atherosclerosis.,20056914
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,NA,NA,NA,NA,NA,Anril dq485454 which is not genetically determined by the 9p21 genotype was significantly correlated with mtap expression.Abundantly expressed in atherosclerotic lesions.,20637465
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,NA,NA,NA,NA,NA,"While the exact role of anril awaited further elucidation,common disease genomewide association studies (gwas) have surprisingly identified the anril gene as a genetic susceptibility locus shared associated by coronary disease,intracranial aneurysm and also type 2 diabetes.",20956613
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,SNP,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,NA,NA,NA,NA,NA,Gene expression studies have found that expression levels of cdkn2a/cdkn2b/anril are co-regulated and associated with the risk haplotype and atherosclerosis severity.,21550161
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,Cancer proliferation,NA,NA,NA,NA,"Genome-wide association studies (gwas) have identified genetic variants contributing to the risk of cardiovascular disease (cvd) at the chromosome 9p21 locus.The cvd-associated region is adjacent to the two cyclin dependent kinase inhibitors (cdkn)2a and 2b and the last exons of the non-coding rna,anril.Cdkn2a/b and anril (exons 1-2 and 17-18) expression was measured employing rt-pcr.Overall,our results suggest that several cvd-associated snps in the 9p21 locus affect the expression of anril,which,in turn modulate cell growth,possibly via cdkn2a/b regulation.",22178423
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,NA,NA,NA,NA,NA,Genetic variation in lncRNA genes causes disease and influences susceptibility.,23791884
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,NA,NA,NA,NA,NA,"The large non-coding rna anril,which is associated with atherosclerosis,periodontitis and several forms of cancer,regulates adipor1,vamp3 and c11orf10.",23813974
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,atherosclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array;Genotyping,NA,Cancer proliferation,NA,NA,NA,NA,Chr9p21 encodes the long non-coding rna (ncrna) antisense non-coding rna in the ink4 locus (anril).Anril expression is associated with the chr9p21 genotype and correlated with atherosclerosis severity.,23861667
CLRN1-AS1,UCRP;CLRN1OS,3q25.1,,,,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg24721964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,28698603
COX10-AS1,COX10AS;COX10-AS,17p12,HSALNG0114686,"HSALNT0237444,HSALNT0237446,HSALNT0237449,HSALNT0237450,HSALNT0237452,HSALNT0237453,HSALNT0237455,HSALNT0237461,HSALNT0237465,HSALNT0237480,HSALNT0237481,HSALNT0237482,HSALNT0237484,HSALNT0237485,HSALNT0388564,HSALNT0388565,HSALNT0388566,HSALNT0388567,HSALNT0388568,HSALNT0388569,HSALNT0388570,HSALNT0388571,HSALNT0388572,HSALNT0388573,HSALNT0388574,HSALNT0388575,HSALNT0388576,HSALNT0388577,HSALNT0388578,HSALNT0388580,HSALNT0388581,HSALNT0388582,HSALNT0388583,HSALNT0388584,HSALNT0388585,HSALNT0388586,HSALNT0388587,HSALNT0388588,HSALNT0388589,HSALNT0388590,HSALNT0388591,HSALNT0388592,HSALNT0388593,HSALNT0388594,HSALNT0388595,HSALNT0388596,HSALNT0388597,HSALNT0388601,HSALNT0388602,HSALNT0388603,HSALNT0388604,HSALNT0388605,HSALNT0388606,HSALNT0388607,HSALNT0388608",,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg08898866;cg27621897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25091541
CTBP1-AS,PCAT10,4p16.3,HSALNG0141602,HSALNT0289491,,NA,,Disease,atherosclerosis,NA,NA,NA,DNA methylation,cg07928191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25091541
