symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Association identified by gwas (rs10757274,a>g,rs2383206,a>g).",17478681
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Sequence polymorphisms in a 58-kilobase (kb) interval on chromosome 9p21 confer a markedly increased risk (rs3217992,a>g,rs1063192,c>t) of coronary artery disease (cad),the leading cause of death worldwide.",17554300
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,SNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Susceptibility to coronary artery disease and diabetes is encoded by distinct,tightly linked snps (rs2891168,a>g) in the anril locus on chromosome 9p.",18048406
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Chd and periodontitis are genetically related by at least one susceptibility locus,which is possibly involved in anril activity and independent of diabetes associated risk variants within this region.Elucidation of the interplay of anril transcript variants and their involvement in increased susceptibility to the interactive diseases chd and periodontitis promises new insight into the underlying shared pathogenic mechanisms of these complex common diseases.Association of a genetic susceptibility locus (rs2891168,a>g,rs1333042,a>g,rs1333048,a>c).",19214202
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"Significantly reduced expression of all ink4/arf transcripts (p15(ink4b),p16(ink4a),arf and anril) was found in pbtl of individuals harboring a common snp (rs10757278) associated with increased risk of coronary artery disease,stroke and aortic aneurysm.",19343170
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,RNA,Differentially expressed,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,Cancer proliferation,NA,NA,NA,NA,"Whole blood rna expression of the short variants of anril was increased by 2.2-fold whereas expression of the long anril variant was decreased by 1.2-fold in healthy subjects homozygous for the risk allele.Expression levels of the long and short anril variants were positively correlated with that of the cyclin-dependent kinase inhibitor,cdkn2b (p15) and tdgf1 (cripto),respectively.Whole blood rna expression of the short variants of anril was increased by 2.2-fold whereas expression of the long anril variant was decreased by 1.2-fold in healthy subjects homozygous for the risk allele.",19592466
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis,NA,NA,NA,NA,NA,NA,"Risk snps for coronary disease,stroke,diabetes,melanoma,and glioma were all associated with allelic expression of anril (all p<0.05 after correction for multiple testing),while association with the other two genes was only detectable for some risk snps.Snps had an inverse effect on anril and cdkn2b expression,supporting a role of antisense transcription in cdkn2b regulation.Our study suggests that modulation of anril expression mediates susceptibility to several important human diseases.",20386740
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,Blood;Primary aortic sooth muscle cell,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,NA,NA,NA,"While the exact role of anril awaited further elucidation,common disease genomewide association studies (gwas) have surprisingly identified the anril gene as a genetic susceptibility locus shared associated by coronary disease,intracranial aneurysm and also type 2 diabetes.",20956613
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,Wi38,NA,NA,NA,NA,RNA,Down-regulated,NA,NA,NA,NA,NA,NA,NA,NA,Array,NA,NA,NA,Transcriptional regulation,NA,NA,"Therefore,it is possible that the deregulation of anril by such risk-associated single-nucleotide polymorphisms changes the expression level of p15ink4b and/or other target genes,leading to the development of type 2 diabetes or coronary heart disease in humans.Quantitative reverse transcriptase pcr analysis showed that silencing anril resulted in an increase of p15ink4b expression by nearly 8-fold,but had minimal effect on the expression of p16ink4a (increased by 1.8-fold) or p14arf.",21151178
CDKN2B-AS1,ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;CDKN2BAS,9p21.3,,,,NA,,Disease,coronary artery disease,NA,NA,NA,NA,NA,RNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meta-analysis,NA,NA,NA,NA,NA,NA,Anril expression may involve in the mechanisms of chromosome 9p21 on cad development.,23091611
