symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
"A1BG-AS1","FLJ23569;NCRNA00181;A1BGAS;A1BG-AS","19q13.43","HSALNG0127948","HSALNT0263067,HSALNT0263068,HSALNT0263069,HSALNT0263072,HSALNT0263073,HSALNT0263074,HSALNT0263076,HSALNT0263077,HSALNT0263078,HSALNT0263079,HSALNT0263081,HSALNT0263082,HSALNT0263083,HSALNT0263084,HSALNT0263085,HSALNT0263087,HSALNT0263088,HSALNT0399021,HSALNT0399022,HSALNT0399023,HSALNT0399024,HSALNT0399025,HSALNT0399026,HSALNT0399027,HSALNT0399028,HSALNT0399029,HSALNT0399030,HSALNT0399031,HSALNT0399032,HSALNT0399033","","NA","","Disease","hepatocellular cancer","Hepg2;Mhcc97h;Lm3;Hep3b","NA","NA","NA","NA","RNA","Down-regulated","NA","NA","NA","NA","miRNA","miR-216a-5p","RNA-RNA","Inhibit","QRT-PCR;Wetern blotting assay;Luciferase reporter assay;Q-RCR;In vitro knockdown","NA","Cancer proliferation;Invasion;Migration;Epithelial-mesenchymal transition","NA","NA","metastasis","NA","Further analyses confirmed that a1bg as1 expression in hcc was markedly lower than that in noncancerous tissues based on our hcc cohort.Clinical association analysis revealed that low a1bg as1 expression correlated with poor prognostic features,such as microvascular invasion,high tumor grade,and advanced tumor stage.Follow up data indicated that low a1bg as1 level evidently correlated with poor clinical outcomes of hcc patients.Moreover,forced expression of a1bg as1 repressed proliferation,migration,and invasion of hcc cells in vitro.","30556161"
"AATBC","","21q22.3","HSALNG0133454","HSALNT0274329,HSALNT0274331,HSALNT0274332,HSALNT0289520,HSALNT0404479,HSALNT0404480,HSALNT0404481","","NA","","Disease","bladder cancer","Bladder cancer tissue","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA","NA","NA","NA","Microarray;RNAi;Q-RCR;In vitro knockdown","NA","Evading apoptosis;Cancer proliferation;Apoptosis;Insensitivity to antigrowth signals","NA","NA","metastasis","NA","We found that aatbc was overexpressed in bladder cancer patient tissues and positively correlated with tumor grade and pt stage.We also found that inhibition of aatbc resulted in cell proliferation arrest through g1 cell cycle mediated by cyclin d1,cdk4,p18 and phosphorylated rb.In addition,inhibition of aatbc induced cell apoptosis through the intrinsic apoptosis signaling pathway,as evidenced by the activation of caspase-9 and caspase-3.","25473900"
"ABHD11-AS1","NCRNA00035;WBSCR26;LINC00035","7q11.23","ENSG00000225969.2","","","NA","","Disease","endometrial cancer","NA","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","PCG","CCND1","RNA-Protein","NA","Q-RCR;Wetern blotting assay;Rna pull-down assay","NA","Invasion;Cancer proliferation;Metastasis;Insensitivity to antigrowth signals","NA","NA","NA","NA","LncRNA abhd11-as1 promotes the development of endometrial carcinoma by targeting cyclin d1.LncRNA abhd11-as1 functions as an oncogene to promote cell proliferation and invasion in endometrial carcinoma by positively targeting cyclin d1.Rna pull down demonstrated that lncRNA abhd11-as1 binds directly to cyclin d1.","29799152"
"ABHD11-AS1","WBSCR26;NCRNA00035;LINC00035","7q11.23","ENSG00000225969.2","","","NA","","Disease","Cervical cancer","NA","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","miRNA","miR-330-5p","RNA-RNA","Inhibit","QRT-PCR,Wetern blotting assay,Luciferase reporter assay","NA","Apoptosis;Cancer proliferation;Invasion;Migration","NA","ceRNA","NA","NA","","34793775"
"ACTA2-AS1","uc001kfo.1;ZXF1;UC001kfo","10q23.31","HSALNG0079547","HSALNT0166026,HSALNT0166028,HSALNT0166030,HSALNT0166032,HSALNT0288883,HSALNT0359139,HSALNT0359140,HSALNT0359141,HSALNT0359142,HSALNT0359143,HSALNT0359144,HSALNT0359145,HSALNT0359146,HSALNT0359147,HSALNT0359148,HSALNT0359149","","NA","","Disease","hepatocellular cancer","NA","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","PCG","ACTA2","NA","Promote","Wetern blotting assay;Mtt assay;Microarray;RNAi;Q-RCR","NA","Cancer proliferation;Insensitivity to antigrowth signals;Metastasis;Epithelial-mesenchymal transition","NA","NA","metastasis","NA","The present study found that the expression of uc001kfo was upregulated in hcc tissues and cell lines in comparison with tumour-adjacent tissues and normal hepatocytes,respectively.The expression of uc001kfo was upregulated in hcc tissues and cell lines in comparison with tumour-adjacent tissues and normal hepatocytes,respectively.In addition,a high uc001kfo level was determined to be correlated with macro-vascular invasion and tnm stage of hcc.In addition,uc001kfo was verified to promote the proliferation,metastasis and epithelial-mesenchymal transition (emt) in hcc cells in both in vitro and in vivo assays.Mechanistically,a-sma was indicated as a potential target gene of uc001kfo in mediating hcc metastasis.","28088733"
"ACTA2-AS1","uc001kfo.1;ZXF1;UC001kfo","10q23.31","HSALNG0079547","HSALNT0166026,HSALNT0166028,HSALNT0166030,HSALNT0166032,HSALNT0288883,HSALNT0359139,HSALNT0359140,HSALNT0359141,HSALNT0359142,HSALNT0359143,HSALNT0359144,HSALNT0359145,HSALNT0359146,HSALNT0359147,HSALNT0359148,HSALNT0359149","","NA","","Disease","liver cancer","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","QRT-PCR","NA","Invasion;Migration;Cancer proliferation","NA","NA","NA","NA","This inhibition of acta2__s1:4 expression significantly promoted the proliferation,cell cycle progression,migration and invasion of lm3 cells.","30664183"
"AFAP1-AS1","MGC10981;AFAP1AS;AFAP1-AS","4p16.1","HSALNG0032699","HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107","","NA","","Disease","gastric cancer","Sgc 7901;Gastric tissue;Mgc803;Ags","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","NA;NA;NA;NA;NA;NA;NA","AKT;Bax;Bcl-2;Caspase 3;Caspase 9;PARP-1;PTEN","NA;NA;NA;NA;NA;NA;NA","NA;NA;NA;NA;NA;NA;NA","QRT-PCR;Q-RCR;Wetern blotting assay;RNAi","NA","Evading apoptosis;Apoptosis;Cancer proliferation","NA","NA","NA","NA","A small interfering rna (sirna) that targeted afap1-as1 was transfected into cells to inhibit the expression of afap1-as1.Afap1-as1 was up-regulated in gc tissues and gc cells.Afap1-as1 knockdown suppressed cell viability of sgc7901 transfected with si-afap1-as1.Afap1-as1 was up-regulated in gc cells and regulated the gastric cancer cell proliferation and apoptosis via pten/p-akt pathway.Afap1-as1 was found to be associated with increased risk of developing lymph node metastasis,poor overall survival,and short recurrence-free survival.Afap1-as1 knockdown decreased the protein level of p-akt and increased the expression of pten in sgc7901 cells/afap1-as1 was up-regulated in gc cells and regulated the gastric cancer cell proliferation and apoptosis via pten/p-akt pathway.The protein level of cleaved parp,caspase 3,and caspase 9 were increased in sgc7901 transfected with si-afap1-as1,as well as the expression of bax.The protein level of bcl-2 was decreased.Afap1-as1 knockdown decreased the protein level of p-akt and increased the expression of pten in sgc7901 cells.","28451917"
"AFAP1-AS1","MGC10981;AFAP1AS;AFAP1-AS","4p16.1","HSALNG0032699","HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107","","NA","","Disease","hepatocellular cancer","Hepg2;Smccsmmc7721","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","PCG;PCG","RHOA;RAC2","NA;NA","promote;promote","Wetern blotting assay;Flow cytometry assay;Fcm;RNAi;Q-RCR","NA","Cell growth;Insensitivity to antigrowth signals;Epithelial-mesenchymal transition;Invasion;Metastasis;Cancer proliferation","NA","NA","NA","NA","Long noncoding rna afap1-as1 indicates a poor prognosis of hepatocellular carcinoma and promotes cell proliferation and invasion via upregulation of the rhoa/rac2 signaling.Expression of afap1-as1 is increased in human hcc tissues and correlates with poor prognosis.The decreased expression levels of afap1-as1,rhoa and rac2 in si-afap1-as1 group compared with the si-nc group (p<0.01).We found that increased expression of afap1-as1 was significantly correlated with pathological staging (p=0.024) and lymph-vascular space invasion (lvsi) in hcc patients (p=0.007).Multivariate analyses indicated that afap1-as1 represented an independent predictor for overall survival of hcc (p=0.029).Further experiments showed that knockdown of afap1-as1 by si-afap1-as1 decreased the proliferation and invasion in vitro and in vivo,induced cell apoptosis and blocked cell cycle in s phase via inhibition of the rhoa/rac2 signaling/we found that increased expression of afap1-as1 was significantly correlated with pathological staging and lymph-vascular space invasion (lvsi) in hcc patients.Multivariate analyses indicated that afap1-as1 represented an independent predictor for overall survival of hcc.Further experiments showed that knockdown of afap1-as1 by si-afap1-as1 decreased the proliferation and invasion in vitro and in vivo,induced cell apoptosis and blocked cell cycle in s phase via inhibition of the rhoa/rac2 signaling.","26892468"
"AFAP1-AS1","MGC10981;AFAP1AS;AFAP1-AS","4p16.1","HSALNG0032699","HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107","","NA","","Disease","non-small cell lung cancer","Non small cell lung cancer tissue;H1299;16hbe;Spca1;A549","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","PCG","CDKN1A","NA","Inhibit","Rip;Chip;Q-RCR;Wetern blotting assay","NA","Cancer proliferation;Insensitivity to antigrowth signals","NA","Epigenetic regulation","NA","NA","Long noncoding rna afap1-as1 predicts a poor prognosis and regulates non-small cell lung cancer cell proliferation by epigenetically repressing p21 expression.","29793547"
"AFAP1-AS1","MGC10981;AFAP1AS;AFAP1-AS","4p16.1","HSALNG0032699","HSALNT0068738,HSALNT0068740,HSALNT0318106,HSALNT0318107","","NA","","Disease","osteosarcoma","NA","NA","NA","NA","NA","RNA","Up-regulated","NA","NA","NA","NA","TF","TCF4","NA","Promote","Q-RCR;Luciferase reporter assay","NA","Invasion;Cancer proliferation;Metastasis;Insensitivity to antigrowth signals","Wnt/β-catenin signaling pathway","ceRNA","NA","NA","Long noncoding rna afap1-as1 enhances cell proliferation and invasion in osteosarcoma through regulating mir-4695-5p/tcf4-beta-catenin signaling.Afap1-as1 served as a sponge to repress the level of microrna (mir)-4695-5p,which targeted transcription factor (tcf)4,a pivot effector of wnt/beta-catenin signaling pathway.It was demonstrated that overexpression of afap1-as1 inhibited the expression of mir-4695-5p,while mir-4695-5p overexpression decreased tcf4 expression and reduced activation of wnt/beta-catenin pathway.Afap1-as1 knockdown significantly inhibited the proliferation and invasion of os cells in vitro.","29901121"
